net,length_um
_04796_,26.74
_01042_,26.7
_00713_,26.64
_05872_,26.64
_01868_,26.62
_06753_,26.6
_00576_,26.58
_00046_,26.56
_01629_,26.56
_02418_,26.56
_04486_,26.52
_01148_,26.44
_02480_,26.4
_06742_,26.4
_05628_,26.38
_02828_,26.36
_05840_,26.36
_06853_,26.36
_06790_,26.32
_02437_,26.24
_05804_,26.24
_05676_,26.18
_04699_,26.12
_00291_,26.1
_03800_,26.1
_05337_,26.09
_04816_,26.04
_04583_,26.02
_03205_,25.98
_01078_,25.88
_03386_,25.88
_05882_,25.86
_05423_,25.82
_02406_,25.8
_04062_,25.8
_05744_,25.74
_03349_,25.7
_02385_,25.68
_06425_,25.68
_05849_,25.66
_04975_,25.62
_00712_,25.6
_03971_,25.58
_05772_,25.58
_02255_,25.56
_02642_,25.56
_03829_,25.56
_02447_,25.54
_01835_,25.48
_02770_,25.48
_05643_,25.48
_02945_,25.44
_05677_,25.43
_01027_,25.42
_04665_,25.4
_03201_,25.36
_04051_,25.36
_03549_,25.34
_02182_,25.28
_01535_,25.26
_06202_,25.26
_05648_,25.22
_03388_,25.18
_05036_,25.15
_03544_,25.14
_05506_,25.14
_02698_,25.06
_05646_,25.04
_05080_,25.02
_05764_,25.02
_03602_,25
_05320_,25
_05556_,24.96
_00623_,24.94
_03092_,24.92
_06228_,24.92
_06309_,24.92
_04886_,24.9
_02810_,24.86
_06094_,24.86
_01355_,24.82
_05370_,24.79
_00553_,24.78
_06070_,24.76
_01755_,24.66
_04694_,24.66
_01765_,24.64
_03969_,24.64
_04272_,24.64
_05904_,24.64
_03589_,24.62
_00496_,24.6
_00872_,24.58
_05096_,24.54
_01293_,24.5
_02423_,24.5
_05354_,24.5
_03462_,24.48
_02375_,24.46
_05472_,24.45
_01760_,24.4
_06710_,24.4
_01269_,24.38
_06599_,24.37
_02487_,24.34
_03584_,24.34
_03916_,24.34
_03943_,24.34
_06033_,24.3
_03787_,24.26
_04645_,24.26
_05539_,24.26
_00081_,24.24
_05527_,24.24
_01193_,24.22
_04358_,24.22
_04402_,24.2
_05617_,24.2
_03827_,24.18
_04675_,24.14
_01280_,24.11
_03978_,24.1
_01364_,24.09
_06444_,24.08
_04617_,24.06
_04545_,24.04
net123,24.04
_05682_,24.005
_04072_,24
_06825_,23.98
_04649_,23.9
_07055_,23.88
_02170_,23.86
_00790_,23.76
_05734_,23.76
_06186_,23.76
_01317_,23.75
_06384_,23.74
_05471_,23.72
_05118_,23.7
_02627_,23.66
_06178_,23.66
_06320_,23.64
_05644_,23.62
_06651_,23.62
_04750_,23.59
_06180_,23.44
_00319_,23.42
_00479_,23.42
_06872_,23.42
_03772_,23.4
_06615_,23.4
_01630_,23.38
_05417_,23.38
_05532_,23.38
_02980_,23.36
_05798_,23.36
_00542_,23.34
_02294_,23.28
_03119_,23.28
_04231_,23.26
_05616_,23.26
_06499_,23.26
_02883_,23.24
_00806_,23.2
_01321_,23.2
_01758_,23.195
_02805_,23.19
_02483_,23.18
_01214_,23.16
_04330_,23.16
_01814_,23.14
_04091_,23.08
_04728_,23.055
_00940_,23.04
_01696_,23.04
_02716_,23.04
_06059_,23.04
_04421_,23
_02807_,22.96
_01967_,22.92
_03040_,22.92
_05846_,22.92
_00147_,22.9
_05384_,22.88
_05129_,22.87
_01185_,22.86
_04219_,22.84
_03402_,22.8
_04148_,22.8
_01638_,22.76
_06367_,22.74
_05596_,22.72
_00824_,22.7
_05567_,22.7
_01651_,22.68
_06459_,22.67
_05857_,22.62
_00172_,22.6
_03033_,22.6
_03493_,22.6
_05091_,22.54
_02588_,22.535
_03886_,22.5
a[24],22.48
_04249_,22.465
_02589_,22.46
_06460_,22.46
_02320_,22.44
_00089_,22.42
_05026_,22.42
_02558_,22.415
_03511_,22.4
_00799_,22.38
_00446_,22.36
_03865_,22.36
_06476_,22.36
_02024_,22.34
_01099_,22.32
_03395_,22.32
_06526_,22.32
_03127_,22.3
_06086_,22.275
_06122_,22.24
_06347_,22.24
_04841_,22.22
_05916_,22.22
_05730_,22.21
_01667_,22.18
_06175_,22.18
_04246_,22.16
_03212_,22.15
_01540_,22.14
_01644_,22.14
_04974_,22.14
_00078_,22.13
_03020_,22.12
_03590_,22.12
_05340_,22.12
_06923_,22.12
_03838_,22.08
_03239_,22.04
_05683_,22.04
_00320_,22.025
_01757_,21.98
_04999_,21.96
_02924_,21.95
_02072_,21.94
_06142_,21.9
_04406_,21.89
_05678_,21.88
_00616_,21.86
_03817_,21.84
_05197_,21.84
_02476_,21.82
_02520_,21.82
_00882_,21.81
_04150_,21.8
_07009_,21.8
_07069_,21.8
_03383_,21.76
_03141_,21.74
_03851_,21.74
_06509_,21.74
_05735_,21.72
_00884_,21.7
_04867_,21.7
_04223_,21.69
_05056_,21.68
_05927_,21.68
_06024_,21.68
_01035_,21.66
_05793_,21.66
_04909_,21.655
_00422_,21.65
_02044_,21.65
_04008_,21.64
_04563_,21.64
_06623_,21.64
_00640_,21.62
_01204_,21.6
_01990_,21.6
_00738_,21.54
_05573_,21.54
_04781_,21.52
_06990_,21.52
_06329_,21.49
_02453_,21.48
_05604_,21.48
_00923_,21.47
_05530_,21.46
_06251_,21.46
_04957_,21.45
_01485_,21.435
_02624_,21.43
_00365_,21.42
_00611_,21.42
_01036_,21.42
_04637_,21.42
_04884_,21.42
_04898_,21.42
_07072_,21.42
_02895_,21.4
_04411_,21.4
_04998_,21.34
_06502_,21.32
_04778_,21.29
_05128_,21.29
_02075_,21.28
_00690_,21.24
_00899_,21.22
_02842_,21.22
_03849_,21.2
_04025_,21.2
_04346_,21.2
_01422_,21.18
_04296_,21.18
_01904_,21.14
_01923_,21.12
_02328_,21.12
_04355_,21.12
_04063_,21.1
_06169_,21.1
_02709_,21.08
_05490_,21.08
_06296_,21.035
_06177_,21.03
_06247_,21.03
_03398_,21.02
_04918_,21
net176,21
_06120_,20.99
_01030_,20.96
_03630_,20.92
_04041_,20.92
_05413_,20.92
_03626_,20.9
_01841_,20.86
_00877_,20.84
_03328_,20.84
_04021_,20.84
_05829_,20.84
_04719_,20.82
_05224_,20.82
_05602_,20.82
_06392_,20.82
_01605_,20.8
_06013_,20.8
_00403_,20.78
_01360_,20.78
_01663_,20.78
_03831_,20.78
_04579_,20.78
_05917_,20.78
_00231_,20.74
_04630_,20.74
_03708_,20.72
_04532_,20.7
_00684_,20.68
_04573_,20.64
_05609_,20.64
_06999_,20.64
_01672_,20.63
_03148_,20.63
_02121_,20.62
_06332_,20.6
_05002_,20.58
_00264_,20.54
_00906_,20.54
_03536_,20.54
_02222_,20.52
_05808_,20.52
_07064_,20.5
_04031_,20.48
_04659_,20.48
_04453_,20.46
_01575_,20.42
_01771_,20.4
_03844_,20.4
_03944_,20.36
_05615_,20.355
_06016_,20.3
_05652_,20.26
_03878_,20.24
_06533_,20.24
_04504_,20.2
_05114_,20.2
_02102_,20.16
_03063_,20.16
_06338_,20.16
_04834_,20.14
_00942_,20.1
_06491_,20.1
_05658_,20.08
_03470_,20.06
_03617_,20.04
_00492_,20
_00683_,20
_06447_,19.99
_03224_,19.98
_03769_,19.96
_04229_,19.94
_05495_,19.94
_06097_,19.94
_04141_,19.92
_06726_,19.92
_03736_,19.915
_00295_,19.88
_06957_,19.88
_00579_,19.86
_04354_,19.84
_03580_,19.82
_04585_,19.82
_03823_,19.8
_07048_,19.795
_00000_,19.78
_05356_,19.78
_04773_,19.74
_05264_,19.68
_04149_,19.66
_04622_,19.66
_04668_,19.66
_06949_,19.65
_04077_,19.64
_03551_,19.635
_00842_,19.61
_00153_,19.6
_03406_,19.6
_00789_,19.58
_00881_,19.58
_03308_,19.58
_01709_,19.54
_03289_,19.54
_03816_,19.5
_03776_,19.46
_03879_,19.42
net187,19.42
_01038_,19.4
_05387_,19.4
_05600_,19.4
_03257_,19.38
_04003_,19.38
_01847_,19.36
_03834_,19.36
_04193_,19.36
_04718_,19.36
_06244_,19.36
_02631_,19.34
_00280_,19.32
_04292_,19.32
_01276_,19.3
_03189_,19.3
_00656_,19.29
_04535_,19.28
_03423_,19.2
_06492_,19.2
_05059_,19.18
_02301_,19.16
_05392_,19.14
_05983_,19.14
_00588_,19.12
_02792_,19.12
_04522_,19.12
_07060_,19.12
_05500_,19.09
_00164_,19.08
_04190_,19.08
_05737_,19.08
_05033_,19.075
_01825_,19.07
_02034_,19.06
_02338_,19.04
_03514_,19.04
_03548_,19.04
_06766_,19.04
_07001_,19.04
_04151_,19.035
_05037_,19.02
_01676_,19
_01808_,19
_05077_,19
_06607_,18.995
_01478_,18.98
_03523_,18.96
_03981_,18.94
_06905_,18.94
_03467_,18.93
_00701_,18.92
_04642_,18.92
_06366_,18.91
_00384_,18.9
_03339_,18.9
_01112_,18.88
_02804_,18.88
_01858_,18.86
_01259_,18.84
_03660_,18.84
_02417_,18.82
_06693_,18.82
_01671_,18.8
_01735_,18.78
_03169_,18.78
_05565_,18.78
_06529_,18.78
_07020_,18.78
_01806_,18.76
_04001_,18.74
_07077_,18.72
_01207_,18.7
_03111_,18.7
_03693_,18.7
_03338_,18.68
_04212_,18.68
_04350_,18.68
_05861_,18.68
_00108_,18.66
_04947_,18.66
_01883_,18.64
_04392_,18.6
_04968_,18.6
_05562_,18.59
_00111_,18.58
_04809_,18.58
_06235_,18.58
_06268_,18.58
_05185_,18.56
_06433_,18.56
_03622_,18.54
_05366_,18.54
_01846_,18.52
_02485_,18.5
_03441_,18.5
_05145_,18.46
_04603_,18.44
_05757_,18.44
_02839_,18.43
_01452_,18.42
_06926_,18.42
_04257_,18.4
_05709_,18.4
_06221_,18.4
_01665_,18.38
_02501_,18.38
_05858_,18.38
_04902_,18.36
_06604_,18.36
_00242_,18.34
_01371_,18.32
_01949_,18.32
_04736_,18.32
_00564_,18.3
_03505_,18.3
_04967_,18.3
_05482_,18.3
_03319_,18.28
_04137_,18.28
_04561_,18.28
_05325_,18.28
_06442_,18.28
_06642_,18.28
_06961_,18.28
_02484_,18.26
_03477_,18.26
_05767_,18.26
_00478_,18.24
_02466_,18.24
_02754_,18.24
_05696_,18.24
_06206_,18.24
_03488_,18.23
_04831_,18.22
prod[44],18.22
_03731_,18.2
_04828_,18.2
_00386_,18.18
_01105_,18.18
_04312_,18.175
_01918_,18.16
_02978_,18.16
_05868_,18.16
_00203_,18.14
_03631_,18.14
_05225_,18.14
_02460_,18.125
_04152_,18.1
_00866_,18.08
_04295_,18.08
_05605_,18.08
_00318_,18.06
_02652_,18.06
_05954_,18.06
_03819_,18.02
_03919_,18.02
_01831_,18
_02001_,18
_06307_,18
_06431_,18
_02352_,17.99
_01192_,17.98
_06847_,17.98
_00655_,17.96
_06327_,17.96
_01692_,17.94
_03086_,17.94
_05669_,17.94
_05750_,17.94
_01390_,17.92
_01827_,17.9
_05525_,17.9
_06240_,17.9
_06277_,17.9
_02853_,17.88
_00335_,17.86
_02180_,17.86
_03706_,17.86
_05226_,17.86
_05412_,17.86
_06535_,17.86
_00680_,17.84
_04783_,17.84
_04950_,17.84
_06355_,17.84
_02734_,17.78
_04477_,17.78
_06985_,17.78
_01556_,17.75
_04589_,17.74
_06577_,17.74
_05753_,17.73
_01318_,17.72
_01886_,17.72
_05718_,17.72
_06596_,17.72
_02540_,17.71
_00340_,17.7
_03433_,17.7
_03915_,17.7
_04546_,17.7
_05724_,17.69
_03859_,17.68
_06361_,17.68
_03608_,17.675
_00870_,17.66
_03136_,17.66
prod[42],17.66
_00299_,17.64
_04830_,17.64
_02185_,17.62
_02202_,17.62
_04382_,17.62
_04588_,17.62
_05614_,17.62
_05612_,17.6
_00324_,17.58
_01729_,17.58
_05551_,17.58
_00667_,17.56
_04186_,17.56
_06188_,17.54
_00336_,17.515
_07076_,17.5
_01995_,17.48
_03824_,17.48
_04275_,17.48
_06771_,17.46
_00466_,17.44
_02265_,17.44
_03142_,17.44
_03733_,17.44
_05083_,17.44
_06809_,17.44
_06956_,17.44
_04979_,17.43
_01018_,17.42
_01354_,17.42
_01700_,17.42
_05968_,17.42
_03244_,17.415
_05689_,17.41
_04681_,17.4
_05739_,17.4
_06138_,17.4
_04122_,17.38
_00709_,17.36
_02389_,17.36
_03199_,17.36
_06587_,17.36
_03868_,17.34
_02266_,17.32
_02573_,17.32
_03008_,17.32
_04790_,17.32
_02821_,17.3
_02854_,17.3
_04913_,17.3
_06646_,17.3
_03025_,17.28
_04171_,17.28
_04283_,17.28
_05889_,17.28
_06889_,17.28
_03237_,17.26
_04875_,17.26
_00522_,17.24
_04572_,17.24
_04971_,17.24
_02964_,17.22
_03316_,17.22
_04163_,17.22
_04374_,17.22
_00707_,17.2
_02214_,17.2
_06242_,17.18
_04156_,17.16
_00021_,17.14
_03369_,17.14
_04337_,17.1
_04965_,17.1
_01072_,17.06
_01370_,17.06
_03309_,17.06
_05211_,17.06
_05399_,17.06
_06927_,17.06
_02611_,17.04
_04232_,17.02
_04785_,17.02
_01832_,17
_03001_,16.98
_03487_,16.98
_06129_,16.98
_04832_,16.96
_05572_,16.96
_04293_,16.94
_06916_,16.94
_06195_,16.92
_06025_,16.91
_01708_,16.9
_03779_,16.9
_05653_,16.9
_06644_,16.9
_03695_,16.89
_03016_,16.875
_03508_,16.875
_02796_,16.86
_03342_,16.86
_00254_,16.84
_03404_,16.84
_03781_,16.84
_06411_,16.84
_01705_,16.82
_04119_,16.82
_04698_,16.82
_05814_,16.82
_06234_,16.82
_06521_,16.82
_04055_,16.81
_04558_,16.8
_05631_,16.8
_06253_,16.8
_06995_,16.79
_01495_,16.78
_03638_,16.78
_03692_,16.78
_06037_,16.78
_06382_,16.78
_06406_,16.78
_00984_,16.76
_02486_,16.76
_06126_,16.76
_00079_,16.74
_00653_,16.74
_00983_,16.74
_06034_,16.74
_06334_,16.74
_05437_,16.72
_06856_,16.72
_01661_,16.7
_02400_,16.685
_04900_,16.68
_03721_,16.65
_00304_,16.64
_00719_,16.64
_01153_,16.64
_05544_,16.64
_03662_,16.63
_00132_,16.62
_02153_,16.62
_05415_,16.62
_06337_,16.62
_04987_,16.6
_02342_,16.58
_02990_,16.58
_03927_,16.58
_04813_,16.58
_06039_,16.58
_02578_,16.57
_03888_,16.56
_05976_,16.56
_06008_,16.56
_00196_,16.54
_04766_,16.54
_07082_,16.54
_03790_,16.52
_05230_,16.52
_06259_,16.52
_06286_,16.52
_03877_,16.5
_04490_,16.5
_01067_,16.48
_01610_,16.48
_02653_,16.48
_03396_,16.48
_05590_,16.48
_00127_,16.46
_05386_,16.46
_05851_,16.46
_00150_,16.44
_06053_,16.44
_02128_,16.42
_00757_,16.4
_01053_,16.4
_01267_,16.38
_01576_,16.38
_03830_,16.38
_01378_,16.32
_06340_,16.32
_07073_,16.32
_02003_,16.3
_03575_,16.3
_04262_,16.3
_06909_,16.3
_03101_,16.295
_04329_,16.295
_02579_,16.29
_02662_,16.28
_04471_,16.28
_00531_,16.26
_03410_,16.26
_05232_,16.26
_06394_,16.26
_03471_,16.24
net138,16.24
_00832_,16.22
_02270_,16.22
_03904_,16.22
_06663_,16.22
_05430_,16.2
_05448_,16.19
_01048_,16.18
_02581_,16.18
_05637_,16.18
_02910_,16.16
_05586_,16.16
_00206_,16.14
_03276_,16.14
_03898_,16.14
_01682_,16.12
_04260_,16.12
_05268_,16.12
_02669_,16.1
_02773_,16.1
_03377_,16.1
_03065_,16.08
_04422_,16.07
_02983_,16.06
_05174_,16.06
_05275_,16.06
_06194_,16.06
_07003_,16.06
_03951_,16.04
_04539_,16.04
_06076_,16.04
_04166_,16.035
_00893_,16.02
_01458_,16.02
_02344_,16.02
_06109_,16.02
_01005_,16
_01863_,16
_03172_,16
_02634_,15.98
_06583_,15.96
_02715_,15.95
_05632_,15.95
_06971_,15.95
_01912_,15.94
_05208_,15.94
_05542_,15.94
_03050_,15.92
_04798_,15.92
_00928_,15.9
_04380_,15.9
_04407_,15.9
_04908_,15.9
_03461_,15.88
_03962_,15.88
_03164_,15.86
_03994_,15.86
_02753_,15.84
_05297_,15.84
_00427_,15.82
_01357_,15.82
_06506_,15.82
_06911_,15.82
_01557_,15.8
_03495_,15.8
_05347_,15.8
_06749_,15.8
_04632_,15.785
_02388_,15.78
_04500_,15.78
_00804_,15.76
_06365_,15.76
_00425_,15.74
_00434_,15.74
_06157_,15.74
_06849_,15.73
_00148_,15.72
_03346_,15.72
_03610_,15.72
_04243_,15.72
_05578_,15.72
_06822_,15.72
_05222_,15.7
_06556_,15.7
prod[60],15.7
prod[61],15.7
_00910_,15.68
_01299_,15.68
_03282_,15.68
_03541_,15.68
_03952_,15.68
_05000_,15.68
_04159_,15.66
_05835_,15.66
net186,15.66
_00273_,15.64
_01345_,15.64
_02462_,15.64
_05881_,15.64
_06156_,15.64
_03716_,15.62
_05153_,15.62
_06661_,15.62
_01174_,15.6
_03810_,15.6
_04210_,15.6
_05476_,15.6
_02932_,15.595
_01559_,15.58
_01465_,15.56
_01948_,15.56
_01788_,15.54
_05951_,15.54
_01115_,15.53
_01724_,15.52
_02233_,15.52
_04523_,15.52
_04892_,15.52
_03454_,15.5
_04671_,15.5
_00030_,15.48
_00663_,15.48
_01209_,15.48
_05367_,15.48
_06844_,15.48
_04124_,15.44
_07041_,15.42
_06628_,15.4
_00020_,15.38
_06380_,15.38
_06456_,15.38
_06571_,15.38
_02256_,15.36
_02684_,15.36
_05216_,15.36
_06602_,15.36
_05088_,15.355
_06454_,15.35
_03191_,15.34
_04915_,15.34
_05307_,15.34
_06401_,15.34
_06716_,15.34
net175,15.34
_00398_,15.32
_02038_,15.32
_04878_,15.32
net135,15.32
_02042_,15.305
_05777_,15.3
_06700_,15.3
_03186_,15.28
_07071_,15.28
_02414_,15.27
_06908_,15.26
_02177_,15.255
_04473_,15.24
_05815_,15.24
_06098_,15.24
_03976_,15.22
_04988_,15.22
_05024_,15.22
_05831_,15.22
_05984_,15.22
_06254_,15.22
_05907_,15.2
_06011_,15.2
_01853_,15.18
_03018_,15.18
_04524_,15.18
_05273_,15.18
net184,15.175
_00040_,15.16
_00520_,15.16
_01726_,15.16
_03260_,15.16
_03676_,15.16
_05674_,15.16
_05795_,15.14
_06471_,15.14
_01551_,15.13
_01836_,15.12
_06140_,15.12
_01476_,15.1
_02488_,15.1
_05911_,15.1
_01649_,15.08
_05282_,15.08
_03954_,15.06
_02349_,15.02
_03486_,15.02
_05212_,15.02
_05822_,15.02
_06457_,15.02
_02230_,15
_02671_,15
_01159_,14.98
_02537_,14.98
_06833_,14.98
_05148_,14.96
_02838_,14.94
_03789_,14.94
_06397_,14.94
_04492_,14.92
_05504_,14.92
_01081_,14.9
_02152_,14.9
_00566_,14.88
_03231_,14.88
_05923_,14.88
_06262_,14.88
_06353_,14.88
_02522_,14.86
_03987_,14.86
_05484_,14.84
_05671_,14.84
_06975_,14.84
_00309_,14.82
_01187_,14.82
_05351_,14.82
_03156_,14.8
_03500_,14.8
_05301_,14.8
_06888_,14.8
_01754_,14.78
_06280_,14.78
_00876_,14.76
_02020_,14.76
_03856_,14.76
_05183_,14.76
_01615_,14.745
_03062_,14.74
_03298_,14.74
_05623_,14.74
_05771_,14.74
_06578_,14.74
_06611_,14.74
_01227_,14.72
_04534_,14.72
_05113_,14.72
_05363_,14.72
_05013_,14.7
_05505_,14.7
_05875_,14.7
_04139_,14.68
_04216_,14.68
_04687_,14.66
_06230_,14.66
_00134_,14.64
_00283_,14.64
_01170_,14.64
_01327_,14.64
_04349_,14.64
_04574_,14.64
_05034_,14.64
_05641_,14.64
_07036_,14.64
_01342_,14.62
_04359_,14.62
_04938_,14.62
_00685_,14.6
_02215_,14.6
_02814_,14.6
_00637_,14.58
_05218_,14.58
_05523_,14.58
_05894_,14.58
_00069_,14.56
_05176_,14.56
_05184_,14.56
_04724_,14.55
_03351_,14.54
_05022_,14.54
_01804_,14.52
_02071_,14.52
_05687_,14.52
_05717_,14.52
_04819_,14.515
_02513_,14.5
_02710_,14.5
_02892_,14.5
_04616_,14.48
_00387_,14.47
_01964_,14.46
_03428_,14.46
_03940_,14.46
_00086_,14.44
_00188_,14.44
_00905_,14.44
_02528_,14.44
_03108_,14.44
_04282_,14.44
_04513_,14.44
_05422_,14.44
_06238_,14.44
_02074_,14.42
_02315_,14.42
_05076_,14.42
_05102_,14.42
_05139_,14.42
_06147_,14.42
_02355_,14.4
_02677_,14.4
_02835_,14.4
_03261_,14.4
_03345_,14.4
_03038_,14.38
_05864_,14.36
_05870_,14.36
_04767_,14.355
_00976_,14.34
_02517_,14.34
_05108_,14.34
_06085_,14.34
_06920_,14.34
_01536_,14.32
_05667_,14.32
_06712_,14.32
prod[62],14.32
_00957_,14.3
_02392_,14.3
_01915_,14.29
_01855_,14.28
_00062_,14.26
_00634_,14.26
_03673_,14.26
_05383_,14.26
_06673_,14.26
_04919_,14.24
_04935_,14.24
_00452_,14.22
_03302_,14.22
_00045_,14.2
_06191_,14.2
a[5],14.2
_02318_,14.18
_05421_,14.18
_00938_,14.16
_01275_,14.16
_01440_,14.16
_05659_,14.16
_06582_,14.16
_03215_,14.14
_03490_,14.14
_04234_,14.14
_04656_,14.14
_05064_,14.14
_07021_,14.14
_04661_,14.12
_00720_,14.1
_02991_,14.1
_03481_,14.1
_06071_,14.1
_07047_,14.1
_04351_,14.08
_01628_,14.06
_06722_,14.04
_04319_,14.02
_06255_,14.02
_06573_,14.02
_06892_,14.02
_05219_,14
_00356_,13.98
_01359_,13.98
_01501_,13.98
_02035_,13.98
_02552_,13.98
prod[17],13.98
prod[26],13.98
prod[45],13.98
prod[46],13.98
prod[4],13.98
prod[50],13.98
prod[52],13.98
_00170_,13.96
_00178_,13.96
_03009_,13.96
_01862_,13.94
_04244_,13.94
_04941_,13.94
_05378_,13.94
_05570_,13.94
_05959_,13.94
_06333_,13.94
_06897_,13.94
_01262_,13.92
_03803_,13.92
_05089_,13.92
_01305_,13.9
_03637_,13.9
_00971_,13.88
_02363_,13.88
_03157_,13.88
_04194_,13.88
_06418_,13.88
_06725_,13.88
_06879_,13.88
_04028_,13.86
_04537_,13.86
a[13],13.86
a[27],13.86
a[4],13.86
b[12],13.86
b[23],13.86
_01301_,13.84
_01698_,13.84
_02289_,13.84
_04303_,13.84
_04552_,13.84
_06541_,13.84
_00807_,13.82
_01212_,13.82
_01686_,13.8
_03801_,13.8
_00260_,13.78
_03161_,13.78
_03956_,13.78
_04548_,13.78
_06679_,13.78
_00704_,13.76
_01089_,13.76
_02099_,13.76
_03138_,13.76
_04279_,13.76
_05897_,13.76
_01681_,13.74
_05921_,13.74
a[15],13.74
a[18],13.74
a[19],13.74
a[1],13.74
a[30],13.74
b[21],13.74
b[22],13.74
b[3],13.74
_00946_,13.72
_03093_,13.72
_05538_,13.72
_01438_,13.685
_04550_,13.68
_06055_,13.68
_06335_,13.675
_03365_,13.66
_03813_,13.66
_04206_,13.66
_00803_,13.64
_01154_,13.64
_01375_,13.64
_04921_,13.64
_05068_,13.64
_05457_,13.64
_05743_,13.64
_01194_,13.63
_02166_,13.62
_00163_,13.6
_00412_,13.6
_01074_,13.6
_01799_,13.6
_06657_,13.6
_00325_,13.58
_01521_,13.58
_02311_,13.58
_03029_,13.58
_04730_,13.56
_05738_,13.56
_01541_,13.55
_00068_,13.54
_01573_,13.54
_05239_,13.54
_05262_,13.54
_01737_,13.52
_02741_,13.52
_04064_,13.52
prod[10],13.52
_02798_,13.5
_04353_,13.5
_00306_,13.48
_04559_,13.48
_05097_,13.48
_05797_,13.48
_01869_,13.46
_02890_,13.46
_06229_,13.46
_06755_,13.46
_02112_,13.44
_03615_,13.44
_04242_,13.44
_06732_,13.43
_00449_,13.42
_01085_,13.42
_02073_,13.42
_03968_,13.42
_04389_,13.42
_04502_,13.42
_06170_,13.42
_01539_,13.4
_04269_,13.4
b[7],13.4
b[8],13.4
prod[14],13.4
a[0],13.39
_00750_,13.38
_02598_,13.38
_03484_,13.38
_03847_,13.38
_04697_,13.38
_05584_,13.38
_06532_,13.38
_06620_,13.38
_03778_,13.375
_05431_,13.36
_05748_,13.36
_05883_,13.36
_00702_,13.34
_01319_,13.34
_01434_,13.34
_05242_,13.34
_05574_,13.34
_06322_,13.34
_05104_,13.32
_04154_,13.31
_01980_,13.3
_02861_,13.3
_05029_,13.3
_05519_,13.3
_06898_,13.3
_05031_,13.28
_06701_,13.28
_02454_,13.26
_05245_,13.26
_06028_,13.26
_06416_,13.26
_06756_,13.26
_02608_,13.25
_00364_,13.24
_00408_,13.24
_03116_,13.24
_03907_,13.24
_00362_,13.22
_00505_,13.22
_02114_,13.22
_02339_,13.22
_02659_,13.22
_04023_,13.22
_04164_,13.22
_02959_,13.2
_02975_,13.2
_00120_,13.18
_05249_,13.18
_03749_,13.16
_04612_,13.16
_06991_,13.16
_02221_,13.15
_01652_,13.12
_05353_,13.12
_05848_,13.12
_06301_,13.12
_01097_,13.1
_01777_,13.1
_01921_,13.1
_02068_,13.1
_04038_,13.1
_04235_,13.1
_00430_,13.095
_04121_,13.08
_05331_,13.08
_05341_,13.08
_06272_,13.08
_02067_,13.06
_01963_,13.045
_01725_,13.04
_05132_,13.04
prod[15],13.03
_01595_,13.02
_01810_,13.02
_01554_,13
_03792_,13
_03986_,13
_04258_,13
_05243_,13
_04807_,12.995
_00451_,12.98
_00629_,12.98
_00657_,12.98
_02081_,12.98
_04977_,12.98
_01854_,12.96
_01932_,12.96
_03125_,12.96
_05794_,12.96
_06036_,12.96
